Date,Open,High,Low,Close,Adj Close,Volume
2022-05-19,191.199997,195.289993,189.600006,191.289993,191.289993,24446900
2022-05-20,194.970001,197.910004,187.869995,193.539993,193.539993,31465600
2022-05-23,195.190002,196.990005,191.240005,196.229996,196.229996,25059200
2022-05-24,180.550003,183.679993,176.110001,181.279999,181.279999,50406300
2022-05-25,180.399994,185.449997,179.320007,183.830002,183.830002,28030200
2022-05-26,182.880005,192.830002,182.259995,191.630005,191.630005,23056500
2022-05-27,191.360001,195.330002,189.800003,195.130005,195.130005,22562700
2022-05-31,194.889999,197.600006,192.009995,193.639999,193.639999,26131100
2022-06-01,196.509995,199.529999,185.000000,188.639999,188.639999,36623500
2022-06-02,188.449997,200.940002,187.729996,198.860001,198.860001,31951600
2022-06-03,195.979996,196.610001,189.779999,190.779999,190.779999,19465000
2022-06-06,193.990005,196.919998,188.399994,194.250000,194.250000,30574200
2022-06-07,191.929993,196.529999,191.490005,195.649994,195.649994,18828700
2022-06-08,194.669998,202.029999,194.410004,196.639999,196.639999,22267200
2022-06-09,194.279999,199.449997,183.679993,184.000000,184.000000,23501600
2022-06-10,183.039993,183.100006,175.020004,175.570007,175.570007,27450800
2022-06-13,170.589996,172.580002,164.029999,164.259995,164.259995,31749300
2022-06-14,166.029999,166.750000,161.360001,163.729996,163.729996,27244300
2022-06-15,167.199997,172.160004,163.979996,169.350006,169.350006,30008300
2022-06-16,163.720001,165.080002,159.610001,160.869995,160.869995,26944100
2022-06-17,161.679993,165.899994,159.899994,163.740005,163.740005,31374200
2022-06-21,165.929993,167.759995,155.970001,157.050003,157.050003,50724900
2022-06-22,158.380005,160.789993,155.440002,155.850006,155.850006,47267800
2022-06-23,156.270004,159.750000,154.250000,158.750000,158.750000,40499200
2022-06-24,161.729996,170.250000,161.300003,170.160004,170.160004,68736000
2022-06-27,171.320007,171.750000,168.009995,169.490005,169.490005,29174600
2022-06-28,169.899994,171.300003,160.610001,160.679993,160.679993,27744500
2022-06-29,163.570007,166.330002,160.320007,163.940002,163.940002,28595200
2022-06-30,162.149994,165.229996,158.490005,161.250000,161.250000,35250600
2022-07-01,160.309998,160.619995,155.000000,160.029999,160.029999,31423900
2022-07-05,158.139999,168.250000,157.020004,168.190002,168.190002,28618600
2022-07-06,168.199997,171.589996,165.460007,169.770004,169.770004,23085900
2022-07-07,169.449997,172.720001,167.779999,172.190002,172.190002,24083400
2022-07-08,169.979996,172.399994,168.149994,170.880005,170.880005,19249200
2022-07-11,167.070007,167.490005,161.910004,162.880005,162.880005,21885600
2022-07-12,164.800003,165.910004,162.100006,163.270004,163.270004,16639700
2022-07-13,160.160004,164.979996,159.610001,163.490005,163.490005,16555100
2022-07-14,161.220001,162.589996,157.279999,158.050003,158.050003,23765200
2022-07-15,160.539993,164.979996,159.820007,164.699997,164.699997,23342800
2022-07-18,166.750000,171.690002,165.639999,167.229996,167.229996,23574300
2022-07-19,170.369995,176.490005,169.509995,175.779999,175.779999,25933700
2022-07-20,177.490005,183.600006,176.699997,183.089996,183.089996,24784300
2022-07-21,180.630005,183.850006,178.869995,183.169998,183.169998,27195800
2022-07-22,173.070007,175.600006,168.410004,169.270004,169.270004,42583900
2022-07-25,169.000000,170.570007,164.809998,166.649994,166.649994,26166300
2022-07-26,165.940002,166.000000,157.949997,159.149994,159.149994,28468400
2022-07-27,162.589996,170.869995,162.020004,169.580002,169.580002,43846600
2022-07-28,161.059998,161.509995,154.850006,160.720001,160.720001,73214300
2022-07-29,157.690002,160.139999,155.169998,159.100006,159.100006,42065400
2022-08-01,157.250000,165.190002,155.229996,159.929993,159.929993,40596700
2022-08-02,158.309998,162.240005,158.009995,160.190002,160.190002,27374500
2022-08-03,162.690002,169.539993,161.570007,168.800003,168.800003,31721900
2022-08-04,168.300003,172.149994,166.800003,170.570007,170.570007,23938200
2022-08-05,166.990005,171.610001,165.800003,167.110001,167.110001,25832700
2022-08-08,168.000000,177.509995,167.130005,170.250000,170.250000,27299100
2022-08-09,168.949997,169.529999,166.600006,168.529999,168.529999,18655100
2022-08-10,175.990005,180.479996,173.949997,178.339996,178.339996,30262100
2022-08-11,179.710007,183.100006,176.369995,177.490005,177.490005,24079100
2022-08-12,180.809998,181.460007,178.910004,180.500000,180.500000,21274000
2022-08-15,178.960007,181.440002,178.199997,180.889999,180.889999,15878700
2022-08-16,179.440002,180.990005,177.039993,179.470001,179.470001,21156700
2022-08-17,176.759995,178.139999,174.169998,174.850006,174.850006,20118100
2022-08-18,174.339996,175.759995,171.860001,174.660004,174.660004,18844500
2022-08-19,170.199997,172.320007,167.050003,167.960007,167.960007,26240800
2022-08-22,165.490005,165.490005,162.259995,163.050003,163.050003,19499700
2022-08-23,162.479996,165.050003,160.699997,161.110001,161.110001,18111800
2022-08-24,160.600006,165.460007,159.770004,163.259995,163.259995,20891500
2022-08-25,165.179993,168.880005,164.020004,168.779999,168.779999,15550500
2022-08-26,168.479996,170.919998,161.669998,161.779999,161.779999,24023600
2022-08-29,160.660004,163.050003,159.009995,159.169998,159.169998,20052700
2022-08-30,160.350006,161.660004,155.910004,157.160004,157.160004,19567900
2022-08-31,167.070007,167.839996,162.139999,162.929993,162.929993,40953000
2022-09-01,163.580002,167.360001,160.350006,165.360001,165.360001,30145700
2022-09-02,167.449997,167.929993,159.220001,160.320007,160.320007,22634200
2022-09-06,160.100006,161.690002,157.690002,158.539993,158.539993,19339800
2022-09-07,157.759995,160.960007,156.809998,160.389999,160.389999,16831200
2022-09-08,158.710007,162.229996,157.740005,162.059998,162.059998,22530800
2022-09-09,163.250000,169.539993,163.020004,169.149994,169.149994,22086800
2022-09-12,167.389999,171.389999,167.279999,168.960007,168.960007,23220400
2022-09-13,161.539993,161.630005,152.669998,153.130005,153.130005,44444100
2022-09-14,153.330002,153.539993,149.050003,151.470001,151.470001,43064200
2022-09-15,149.800003,154.199997,148.699997,149.550003,149.550003,34606300
2022-09-16,148.050003,148.580002,144.289993,146.289993,146.289993,40122800
2022-09-19,145.240005,148.580002,145.100006,148.020004,148.020004,22169500
2022-09-20,145.779999,148.839996,145.220001,146.089996,146.089996,23217400
2022-09-21,146.389999,149.600006,142.000000,142.119995,142.119995,38338600
2022-09-22,141.550003,144.580002,140.869995,142.820007,142.820007,34418500
2022-09-23,141.419998,142.619995,138.889999,140.410004,140.410004,31710700
2022-09-26,140.119995,142.240005,136.190002,136.369995,136.369995,30497000
2022-09-27,137.919998,139.419998,134.119995,134.399994,134.399994,30826500
2022-09-28,134.619995,142.029999,134.270004,141.610001,141.610001,32658500
2022-09-29,139.360001,139.839996,135.199997,136.410004,136.410004,38985400
2022-09-30,136.050003,140.990005,135.500000,135.679993,135.679993,33166400
2022-10-03,137.139999,139.619995,136.100006,138.610001,138.610001,27723100
2022-10-04,140.490005,142.389999,139.339996,140.279999,140.279999,34670700
2022-10-05,138.240005,140.210007,134.779999,138.979996,138.979996,27979300
2022-10-06,137.720001,141.449997,136.600006,139.070007,139.070007,36231100
2022-10-07,136.759995,138.289993,132.440002,133.449997,133.449997,33214800
2022-10-10,133.550003,136.110001,131.869995,133.789993,133.789993,24024000
2022-10-11,131.619995,132.660004,126.989998,128.539993,128.539993,38481400
2022-10-12,128.320007,129.669998,126.250000,127.500000,127.500000,34605200
2022-10-13,123.529999,131.139999,122.529999,130.289993,130.289993,34325700
2022-10-14,131.000000,131.789993,126.519997,126.760002,126.760002,23559400
2022-10-17,130.300003,134.789993,130.179993,134.039993,134.039993,29612200
2022-10-18,137.089996,137.839996,131.399994,132.800003,132.800003,25445000
2022-10-19,132.889999,137.000000,132.220001,133.229996,133.229996,30691000
2022-10-20,132.929993,136.770004,131.309998,131.529999,131.529999,26356300
2022-10-21,126.309998,130.119995,125.440002,130.009995,130.009995,46348600
2022-10-24,127.250000,133.479996,124.570000,129.720001,129.720001,63563400
2022-10-25,130.880005,138.350006,130.589996,137.509995,137.509995,38433200
2022-10-26,131.679993,135.550003,128.529999,129.820007,129.820007,82791500
2022-10-27,97.980003,102.500000,96.379997,97.940002,97.940002,232316600
2022-10-28,99.580002,100.849998,97.510002,99.199997,99.199997,95928300
2022-10-31,98.220001,99.320000,92.599998,93.160004,93.160004,121361400
2022-11-01,94.330002,97.489998,93.550003,95.199997,95.199997,110189600
2022-11-02,94.209999,95.199997,90.480003,90.540001,90.540001,71821100
2022-11-03,90.080002,90.459999,88.410004,88.910004,88.910004,60664000
2022-11-04,90.349998,91.389999,88.089996,90.790001,90.790001,55638100
2022-11-07,94.779999,96.879997,93.099998,96.720001,96.720001,81987300
2022-11-08,95.919998,97.800003,94.790001,96.470001,96.470001,52088300
2022-11-09,101.720001,104.900002,100.739998,101.470001,101.470001,107677300
2022-11-10,107.120003,112.750000,104.610001,111.870003,111.870003,80671000
2022-11-11,109.230003,114.900002,108.809998,113.019997,113.019997,59961700
2022-11-14,110.989998,116.269997,110.800003,114.220001,114.220001,53395000
2022-11-15,116.070000,118.739998,114.410004,117.080002,117.080002,50670500
2022-11-16,114.500000,116.080002,112.660004,113.230003,113.230003,33287800
